data_hora;site;modelo_busca;titulo;preco;processador;ram;armazenamento;gpu;tela;link
2025-11-10 19:43:04;Amazon;asus vivobook 15;"Notebook Lenovo LOQ-e 15IAX9E Intel Core i5-12450HX 16GB 512GB SSD RTX 3050 Windows 11 Pro 15.6"" - 83ME000CBR Luna Grey";R$ 5.509,05;I5-12450HX;N/A;16GB;RTX;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo2NzI5NDYxNjUxNDkxNDEzOjE3NjI4MDM3ODU6c3BfYXRmOjMwMDg3ODYxOTUxODMwMjo6MDo6&url=%2FNotebook-Lenovo-15IAX9E-i5-12450HX-Windows%2Fdp%2FB0DSXNFP1S%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.ADv-phX5n21aNir3l2yz2rEgojqgBeaahyIgGMO8NEuGDvcDJwaKeVl80j8tvLYJ_FheS7vW691GtlLPPBRI9jnCZGRvc_xqoATpMsq-MlRr7Wxj06Lvo552idQHR8KfKGjA42PmhS-82bKGKspfuASPE0PYnk3e28uEdK6IZXuQB9SsM97XNKq_wa89tcHX8tzX2_tioahjhEnKLRS4GFuQjR8IQpruY4UWBaKgqHZnEK3r2ebB7c4Kv5ki3biHlb0r7aFe-tMjynNcMSm1hlxSnAAd9TVudKiWprqJ75w.FDf0pRj35qGkj_H46TpMYTJW-nWZSzAL_NZFTNtENSU%26dib_tag%3Dse%26keywords%3Dasus%2Bvivobook%2B15%26qid%3D1762803785%26sr%3D8-1-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2025-11-10 19:43:04;Amazon;asus vivobook 15;"Notebook Lenovo Yoga Slim 7 14IMH9 14"" Intel Core Ultra 7 155H 16GB 512GB SSD Windows 11-83GM0005BR Luna Grey";R$ 6.174,05;N/A;N/A;16GB;N/A;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo2NzI5NDYxNjUxNDkxNDEzOjE3NjI4MDM3ODU6c3BfYXRmOjMwMDg3ODYxOTUxODkwMjo6MDo6&url=%2FNotebook-Lenovo-14IMH9-Windows-11-83GM0005BR%2Fdp%2FB0DR3GRCG2%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.ADv-phX5n21aNir3l2yz2rEgojqgBeaahyIgGMO8NEuGDvcDJwaKeVl80j8tvLYJ_FheS7vW691GtlLPPBRI9jnCZGRvc_xqoATpMsq-MlRr7Wxj06Lvo552idQHR8KfKGjA42PmhS-82bKGKspfuASPE0PYnk3e28uEdK6IZXuQB9SsM97XNKq_wa89tcHX8tzX2_tioahjhEnKLRS4GFuQjR8IQpruY4UWBaKgqHZnEK3r2ebB7c4Kv5ki3biHlb0r7aFe-tMjynNcMSm1hlxSnAAd9TVudKiWprqJ75w.FDf0pRj35qGkj_H46TpMYTJW-nWZSzAL_NZFTNtENSU%26dib_tag%3Dse%26keywords%3Dasus%2Bvivobook%2B15%26qid%3D1762803785%26sr%3D8-2-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2025-11-10 19:43:04;Amazon;asus vivobook 15;"Notebook Gamer Legion 5 Intel Core i7-14650HX 16GB 512GB SSD RTX4060 8GB W11Home 16"" WQXGA 83EW0002BR";R$ 12.349,05;I7-14650HX;8GB;16GB;RTX;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo2NzI5NDYxNjUxNDkxNDEzOjE3NjI4MDM3ODU6c3BfYXRmOjMwMDg3ODYxOTUxODQwMjo6MDo6&url=%2FNotebook-i7-14650HX-RTX4060-W11Home-83EW0002BR%2Fdp%2FB0DRMDNR7D%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.ADv-phX5n21aNir3l2yz2rEgojqgBeaahyIgGMO8NEuGDvcDJwaKeVl80j8tvLYJ_FheS7vW691GtlLPPBRI9jnCZGRvc_xqoATpMsq-MlRr7Wxj06Lvo552idQHR8KfKGjA42PmhS-82bKGKspfuASPE0PYnk3e28uEdK6IZXuQB9SsM97XNKq_wa89tcHX8tzX2_tioahjhEnKLRS4GFuQjR8IQpruY4UWBaKgqHZnEK3r2ebB7c4Kv5ki3biHlb0r7aFe-tMjynNcMSm1hlxSnAAd9TVudKiWprqJ75w.FDf0pRj35qGkj_H46TpMYTJW-nWZSzAL_NZFTNtENSU%26dib_tag%3Dse%26keywords%3Dasus%2Bvivobook%2B15%26qid%3D1762803785%26sr%3D8-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2025-11-10 19:43:04;Amazon;asus vivobook 15;"Notebook Lenovo Yoga 7x Snapdragon X Elite X1E-78-100 32GB 1TB SSD W11 14.5"" OLED 83ED001XBR";R$ 11.399,05;N/A;N/A;32GB;N/A;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo2NzI5NDYxNjUxNDkxNDEzOjE3NjI4MDM3ODU6c3BfYXRmOjMwMDg3ODYxOTUxODgwMjo6MDo6&url=%2FNotebook-Lenovo-Snapdragon-X1E-78-100-83ED001XBR%2Fdp%2FB0DK16CS9R%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.ADv-phX5n21aNir3l2yz2rEgojqgBeaahyIgGMO8NEuGDvcDJwaKeVl80j8tvLYJ_FheS7vW691GtlLPPBRI9jnCZGRvc_xqoATpMsq-MlRr7Wxj06Lvo552idQHR8KfKGjA42PmhS-82bKGKspfuASPE0PYnk3e28uEdK6IZXuQB9SsM97XNKq_wa89tcHX8tzX2_tioahjhEnKLRS4GFuQjR8IQpruY4UWBaKgqHZnEK3r2ebB7c4Kv5ki3biHlb0r7aFe-tMjynNcMSm1hlxSnAAd9TVudKiWprqJ75w.FDf0pRj35qGkj_H46TpMYTJW-nWZSzAL_NZFTNtENSU%26dib_tag%3Dse%26keywords%3Dasus%2Bvivobook%2B15%26qid%3D1762803785%26sr%3D8-4-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2025-11-10 19:43:04;Amazon;asus vivobook 15;Notebook ASUS Vivobook 15, Intel Core i5, 16 GB, 512 GB SSD W11 Home, 15.6'' FHD, Quiet Blue -X1504VA-NJ1745W;R$ 3.039,05;I5;N/A;16GB;N/A;"15.6""";https://www.amazon.com.br/Notebook-ASUS-Vivobook-Intel-X1504VA-NJ1745W/dp/B0F4M66XWL/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ADv-phX5n21aNir3l2yz2rEgojqgBeaahyIgGMO8NEuGDvcDJwaKeVl80j8tvLYJ_FheS7vW691GtlLPPBRI9jnCZGRvc_xqoATpMsq-MlRr7Wxj06Lvo552idQHR8KfKGjA42PmhS-82bKGKspfuASPE0PYnk3e28uEdK6IZXuQB9SsM97XNKq_wa89tcHX8tzX2_tioahjhEnKLRS4GFuQjR8IQpruY4UWBaKgqHZnEK3r2ebB7c4Kv5ki3biHlb0r7aFe-tMjynNcMSm1hlxSnAAd9TVudKiWprqJ75w.FDf0pRj35qGkj_H46TpMYTJW-nWZSzAL_NZFTNtENSU&dib_tag=se&keywords=asus+vivobook+15&qid=1762803785&sr=8-5&ufe=app_do%3Aamzn1.fos.9e6a115c-05b9-4b96-8e1c-b1f9ce2ac1a6
2025-11-10 19:43:04;Amazon;asus vivobook 15;"Notebook Lenovo Yoga 7x Snapdragon X Elite X1E-78-100 32GB 1TB SSD W11 14.5"" OLED 83ED001XBR";R$ 11.399,05;N/A;N/A;32GB;N/A;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo4MTg4MTU4ODg4NDYyNDIxOjE3NjI4MDM3OTQ6c3BfYXRmX25leHQ6MzAwODc4NjE5NTE4ODAyOjowOjo&url=%2FNotebook-Lenovo-Snapdragon-X1E-78-100-83ED001XBR%2Fdp%2FB0DK16CS9R%2Fref%3Dsr_1_49_sspa%3Fdib%3DeyJ2IjoiMSJ9.iHJwh8_NPi93I14wRf5Whi46XZFs9tUVxhmTz8yifC6NR0QH4u-XSniEp8d3ic2OeXLJqv2LeB6dUSrM36XcvffRFQ5ArRgm-VpXGTi_HFH0X7C3j_8Z_3hvwrt_Mh5nq0u1XA3-yYE-Y7o21aaareIyGbVshYgU7ZqT81JaMg8UEMmxFMxoCZD01Iysz70YccA7EQy7qCmb7VkiAtcgVSZMz-erNlPt0ok5NMqp6JFecMAcDHw5oqgQ5IHiXiKhcvo558SpxXnMc1vlEcEMY9EGqumF1hd8GFXBqEhSiE8.FM7lQmZLSemYfEro3N4ZfbV9OerdIvl3ssT4Wy1lYmc%26dib_tag%3Dse%26keywords%3Dasus%2Bvivobook%2B15%26qid%3D1762803794%26sr%3D8-49-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2025-11-10 19:43:04;Amazon;asus vivobook 15;"Notebook Lenovo Yoga Slim 7 14IMH9 14"" Intel Core Ultra 7 155H 16GB 512GB SSD Windows 11-83GM0005BR Luna Grey";R$ 6.174,05;N/A;N/A;16GB;N/A;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo4MTg4MTU4ODg4NDYyNDIxOjE3NjI4MDM3OTQ6c3BfYXRmX25leHQ6MzAwODc4NjE5NTE4OTAyOjowOjo&url=%2FNotebook-Lenovo-14IMH9-Windows-11-83GM0005BR%2Fdp%2FB0DR3GRCG2%2Fref%3Dsr_1_50_sspa%3Fdib%3DeyJ2IjoiMSJ9.iHJwh8_NPi93I14wRf5Whi46XZFs9tUVxhmTz8yifC6NR0QH4u-XSniEp8d3ic2OeXLJqv2LeB6dUSrM36XcvffRFQ5ArRgm-VpXGTi_HFH0X7C3j_8Z_3hvwrt_Mh5nq0u1XA3-yYE-Y7o21aaareIyGbVshYgU7ZqT81JaMg8UEMmxFMxoCZD01Iysz70YccA7EQy7qCmb7VkiAtcgVSZMz-erNlPt0ok5NMqp6JFecMAcDHw5oqgQ5IHiXiKhcvo558SpxXnMc1vlEcEMY9EGqumF1hd8GFXBqEhSiE8.FM7lQmZLSemYfEro3N4ZfbV9OerdIvl3ssT4Wy1lYmc%26dib_tag%3Dse%26keywords%3Dasus%2Bvivobook%2B15%26qid%3D1762803794%26sr%3D8-50-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2025-11-10 19:43:04;Amazon;asus vivobook 15;"Notebook Gamer Legion 5 Intel Core i7-14650HX 16GB 512GB SSD RTX4060 8GB W11Home 16"" WQXGA 83EW0002BR";R$ 12.349,05;I7-14650HX;8GB;16GB;RTX;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo4MTg4MTU4ODg4NDYyNDIxOjE3NjI4MDM3OTQ6c3BfYXRmX25leHQ6MzAwODc4NjE5NTE4NDAyOjowOjo&url=%2FNotebook-i7-14650HX-RTX4060-W11Home-83EW0002BR%2Fdp%2FB0DRMDNR7D%2Fref%3Dsr_1_51_sspa%3Fdib%3DeyJ2IjoiMSJ9.iHJwh8_NPi93I14wRf5Whi46XZFs9tUVxhmTz8yifC6NR0QH4u-XSniEp8d3ic2OeXLJqv2LeB6dUSrM36XcvffRFQ5ArRgm-VpXGTi_HFH0X7C3j_8Z_3hvwrt_Mh5nq0u1XA3-yYE-Y7o21aaareIyGbVshYgU7ZqT81JaMg8UEMmxFMxoCZD01Iysz70YccA7EQy7qCmb7VkiAtcgVSZMz-erNlPt0ok5NMqp6JFecMAcDHw5oqgQ5IHiXiKhcvo558SpxXnMc1vlEcEMY9EGqumF1hd8GFXBqEhSiE8.FM7lQmZLSemYfEro3N4ZfbV9OerdIvl3ssT4Wy1lYmc%26dib_tag%3Dse%26keywords%3Dasus%2Bvivobook%2B15%26qid%3D1762803794%26sr%3D8-51-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2025-11-10 19:43:04;Amazon;asus vivobook 15;"Notebook Lenovo LOQ-e 15IAX9E Intel Core i5-12450HX 16GB 512GB SSD RTX 3050 Windows 11 Pro 15.6"" - 83ME000CBR Luna Grey";R$ 5.509,05;I5-12450HX;N/A;16GB;RTX;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo4MTg4MTU4ODg4NDYyNDIxOjE3NjI4MDM3OTQ6c3BfYXRmX25leHQ6MzAwODc4NjE5NTE4MzAyOjowOjo&url=%2FNotebook-Lenovo-15IAX9E-i5-12450HX-Windows%2Fdp%2FB0DSXNFP1S%2Fref%3Dsr_1_52_sspa%3Fdib%3DeyJ2IjoiMSJ9.iHJwh8_NPi93I14wRf5Whi46XZFs9tUVxhmTz8yifC6NR0QH4u-XSniEp8d3ic2OeXLJqv2LeB6dUSrM36XcvffRFQ5ArRgm-VpXGTi_HFH0X7C3j_8Z_3hvwrt_Mh5nq0u1XA3-yYE-Y7o21aaareIyGbVshYgU7ZqT81JaMg8UEMmxFMxoCZD01Iysz70YccA7EQy7qCmb7VkiAtcgVSZMz-erNlPt0ok5NMqp6JFecMAcDHw5oqgQ5IHiXiKhcvo558SpxXnMc1vlEcEMY9EGqumF1hd8GFXBqEhSiE8.FM7lQmZLSemYfEro3N4ZfbV9OerdIvl3ssT4Wy1lYmc%26dib_tag%3Dse%26keywords%3Dasus%2Bvivobook%2B15%26qid%3D1762803794%26sr%3D8-52-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2025-11-10 19:43:04;Amazon;asus vivobook 15;ASUS Laptop VivoBook 15 2020 15,6 polegadas FHD 1080P (AMD Ryzen 3 3200U até 3,5 GHz, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 3, teclado retroiluminado, leitor FP, Wi-Fi, Bluetooth, HDMI, Windows 10) (cinza);R$ 3.954,83;RYZEN 3;N/A;8GB;AMD RADEON;N/A;https://www.amazon.com.br/ASUS-VivoBook-polegadas-retroiluminado-Bluetooth/dp/B07Y5PDX7D/ref=sr_1_53?dib=eyJ2IjoiMSJ9.iHJwh8_NPi93I14wRf5Whi46XZFs9tUVxhmTz8yifC6NR0QH4u-XSniEp8d3ic2OeXLJqv2LeB6dUSrM36XcvffRFQ5ArRgm-VpXGTi_HFH0X7C3j_8Z_3hvwrt_Mh5nq0u1XA3-yYE-Y7o21aaareIyGbVshYgU7ZqT81JaMg8UEMmxFMxoCZD01Iysz70YccA7EQy7qCmb7VkiAtcgVSZMz-erNlPt0ok5NMqp6JFecMAcDHw5oqgQ5IHiXiKhcvo558SpxXnMc1vlEcEMY9EGqumF1hd8GFXBqEhSiE8.FM7lQmZLSemYfEro3N4ZfbV9OerdIvl3ssT4Wy1lYmc&dib_tag=se&keywords=asus+vivobook+15&qid=1762803794&sr=8-53&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
